title,abstract,authors,categories,year
Attention Is All You Need,"We propose a new simple network architecture, the Transformer, based solely on attention mechanisms, dispensing with recurrence and convolutions entirely. The Transformer allows for significantly more parallelization and can reach a new state of the art in translation quality after being trained for as little as twelve hours on eight P100 GPUs.",Vaswani et al.,NLP,2017
An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,"While the Transformer architecture has become the de-facto standard for natural language processing tasks, its applications to computer vision remain limited. In vision, attention is either applied in conjunction with convolutional networks, or used to replace certain components of convolutional networks. We show that a pure transformer applied directly to sequences of image patches can perform very well on image classification tasks. When pre-trained on large amounts of data, Vision Transformer (ViT) attains excellent results compared to state-of-the-art convolutional networks while requiring substantially fewer computational resources to train.",Dosovitskiy et al.,Computer Vision,2020
BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,"We introduce a new language representation model called BERT, which stands for Bidirectional Encoder Representations from Transformers. BERT is designed to pre-train deep bidirectional representations from unlabeled text by jointly conditioning on both left and right context in all layers. The pre-trained BERT model can be fine-tuned with just one additional output layer to create state-of-the-art models for a wide range of tasks.",Devlin et al.,NLP,2018
Deep Residual Learning for Image Recognition,"We present a residual learning framework to ease the training of networks that are substantially deeper than those used previously. We explicitly reformulate the layers as learning residual functions with reference to the layer inputs, instead of learning unreferenced functions. We provide comprehensive empirical evidence showing that these residual networks are easier to optimize and can gain accuracy from considerably increased depth.",He et al.,Computer Vision,2015
Generative Adversarial Networks,"We propose a new framework for estimating generative models via an adversarial process, in which we simultaneously train two models: a generative model G that captures the data distribution, and a discriminative model D that estimates the probability that a sample came from the training data rather than G. The training procedure for G is to maximize the probability of D making a mistake.",Goodfellow et al.,Generative Models,2014
YOLO: You Only Look Once - Unified Real-Time Object Detection,"We present YOLO, a new approach to object detection. Prior work on object detection repurposes classifiers to perform detection. Instead, we frame object detection as a regression problem to spatially separated bounding boxes and associated class probabilities. A single neural network predicts bounding boxes and class probabilities directly from full images in one evaluation.",Redmon et al.,Computer Vision,2015
GPT-4 Technical Report,"We report the development of GPT-4, a large-scale, multimodal model which can accept image and text inputs and produce text outputs. GPT-4 exhibits human-level performance on various professional and academic benchmarks. It is a Transformer-based model pre-trained to predict the next token in a document, using both publicly available data and data licensed from third-party providers.",OpenAI,Large Language Models,2023
U-Net: Convolutional Networks for Biomedical Image Segmentation,"We present a network and training strategy that relies on the strong use of data augmentation to use the available annotated samples more efficiently. The architecture consists of a contracting path to capture context and a symmetric expanding path that enables precise localization. We show that such a network can be trained end-to-end from very few images and outperforms the prior best method on the ISBI challenge for segmentation of neuronal structures.",Ronneberger et al.,Medical Imaging,2015
ImageNet Classification with Deep Convolutional Neural Networks,"We trained a large, deep convolutional neural network to classify the 1.2 million high-resolution images in the ImageNet LSVRC-2010 contest into the 1000 different classes. On the test data, we achieved top-1 and top-5 error rates of 37.5% and 17.0%, which is considerably better than the previous state-of-the-art. The neural network has 60 million parameters and 650,000 neurons, consists of five convolutional layers followed by max-pooling layers and three fully-connected layers with a final 1000-way softmax.",Krizhevsky et al.,Computer Vision,2012
DALL-E 2: Hierarchical Text-Conditional Image Generation with CLIP Latents,"We propose a two-stage model for generating images from text descriptions. The model first generates a CLIP image embedding from a text caption using a prior model, then generates an image conditioned on the image embedding using a diffusion decoder. The resulting model produces diverse, high-quality images that reflect the semantics and style of the input text description.",Ramesh et al.,Generative Models,2022
Dropout: A Simple Way to Prevent Neural Networks from Overfitting,"We describe the key technique called dropout for preventing overfitting in deep neural networks. The key idea is to randomly drop units along with their connections from the neural network during training. This prevents units from co-adapting too much. During training, dropout samples from an exponential number of different thinned networks.",Srivastava et al.,Machine Learning,2014
Batch Normalization: Accelerating Deep Network Training,"Training Deep Neural Networks is complicated by the fact that the distribution of each layer's inputs changes during training, as the parameters of the previous layers change. We refer to this phenomenon as internal covariate shift, and address the problem by normalizing layer inputs. Batch Normalization allows us to use much higher learning rates and be less careful about initialization.",Ioffe & Szegedy,Machine Learning,2015
Segment Anything,"We introduce the Segment Anything (SA) project: a new task, model, and dataset for image segmentation. We build the largest segmentation dataset to date with over 1 billion masks on 11M licensed and privacy respecting images. The model is designed and trained to be promptable, so it can transfer zero-shot to new image distributions and tasks.",Kirillov et al.,Computer Vision,2023
CLIP: Learning Transferable Visual Models From Natural Language Supervision,"We demonstrate that the simple pre-training task of predicting which caption goes with which image is an efficient and scalable way to learn state-of-the-art image representations from scratch. We show that the resulting model CLIP efficiently learns visual concepts from natural language supervision and can be applied to a wide range of visual classification tasks.",Radford et al.,Computer Vision,2021
Adam: A Method for Stochastic Optimization,"We introduce Adam, an algorithm for first-order gradient-based optimization of stochastic objective functions, based on adaptive estimates of lower-order moments. The method is straightforward to implement, is computationally efficient, has little memory requirements, is invariant to diagonal rescaling of the gradients, and is well suited for problems that are large in terms of data and parameters.",Kingma & Ba,Machine Learning,2014
